datetime,open,close,high,low,volume
2012-09-24 05:00:00,181.44,181.04,182.25,180.56,591452.0
2012-09-25 05:00:00,181.74,177.91,182.241,177.89,595763.0
2012-09-26 05:00:00,178.58,176.66,179.31,176.55,439919.0
2012-09-27 05:00:00,178.01,178.93,180.0,177.68,301107.0
2012-09-28 05:00:00,178.6,178.3,179.431,177.12,611978.0
2012-10-01 05:00:00,179.57,179.86,182.91,179.25,465903.0
2012-10-02 05:00:00,180.69,177.17,180.895,175.49,1123012.0
2012-10-03 05:00:00,178.24,181.57,182.0,176.56,1118699.0
2012-10-04 05:00:00,182.14,184.02,184.07,181.54,806699.0
2012-10-05 05:00:00,185.02,187.39,191.99,185.02,1530941.0
2012-10-08 05:00:00,187.94,188.69,189.9,187.33,1199420.0
2012-10-09 05:00:00,188.94,188.99,190.34,188.69,1362669.0
2012-10-10 05:00:00,188.61,187.36,188.99,187.24,564779.0
2012-10-11 05:00:00,187.8,185.79,188.61,185.5,632008.0
2012-10-12 05:00:00,185.68,184.31,187.7498,183.255,688228.0
2012-10-15 05:00:00,186.52,185.37,188.0,184.35,1377599.0
2012-10-16 05:00:00,187.24,189.97,190.87,186.84,1569065.0
2012-10-17 05:00:00,191.49,189.13,192.0,188.69,1348656.0
2012-10-18 05:00:00,188.81,190.0,192.08,188.4,1147711.0
2012-10-19 05:00:00,189.41,188.94,190.2,188.39,807656.0
2012-10-22 05:00:00,188.49,189.27,189.4099,186.67,497307.0
2012-10-23 05:00:00,187.01,187.87,189.285,185.7108,738068.0
2012-10-24 05:00:00,188.3,186.99,190.28,186.33,748845.0
2012-10-25 05:00:00,188.45,187.12,189.08,186.175,648364.0
2012-10-26 05:00:00,187.3,186.99,188.4,186.44,685978.0
2012-10-31 05:00:00,189.09,189.68,190.99,188.34,909245.0
2012-11-01 05:00:00,189.52,190.07,190.46,188.84,811080.0
2012-11-02 05:00:00,190.86,189.52,192.31,189.32,686373.0
2012-11-05 06:00:00,188.82,189.5,190.25,187.36,529995.0
2012-11-06 06:00:00,191.09,191.42,191.86,189.51,963126.0
2012-11-07 06:00:00,188.98,190.0,190.6,188.5,1383375.0
2012-11-08 06:00:00,190.31,187.1,191.59,187.1,570030.0
2012-11-09 06:00:00,186.7,186.83,189.02,186.47,446136.0
2012-11-12 06:00:00,187.25,188.53,189.5,186.31,622217.0
2012-11-13 06:00:00,187.27,188.34,190.09,187.245,739795.0
2012-11-14 06:00:00,188.76,186.6,189.19,186.25,694883.0
2012-11-15 06:00:00,186.5,186.96,187.55,185.2,1046755.0
2012-11-16 06:00:00,188.13,186.99,190.16,185.41,941880.0
2012-11-19 06:00:00,189.46,191.16,191.2095,189.15,927964.0
2012-11-20 06:00:00,190.81,193.8,193.8,190.3,730171.0
2012-11-21 06:00:00,194.73,193.75,194.99,192.07,550085.0
2012-11-23 06:00:00,194.71,195.54,195.6,194.079,167142.0
2012-11-26 06:00:00,194.48,194.09,195.215,193.28,397492.0
2012-11-27 06:00:00,196.35,194.82,196.35,192.81,704076.0
2012-11-28 06:00:00,194.505,197.43,198.88,194.0,906838.0
2012-11-29 06:00:00,196.74,195.62,197.54,194.21,569473.0
2012-11-30 06:00:00,195.45,197.04,197.23,194.52,743683.0
2012-12-03 06:00:00,198.13,195.33,199.35,195.09,530762.0
2012-12-04 06:00:00,195.02,191.26,195.75,191.19,928048.0
2012-12-05 06:00:00,191.2,192.44,193.55,190.24,752417.0
2012-12-06 06:00:00,192.4,193.75,193.85,191.69,468559.0
2012-12-07 06:00:00,194.42,194.76,194.85,193.312,272468.0
2012-12-10 06:00:00,194.78,195.72,195.82,194.0,388893.0
2012-12-11 06:00:00,195.77,199.45,199.65,195.77,704573.0
2012-12-12 06:00:00,200.34,200.67,201.73,199.04,1020671.0
2012-12-13 06:00:00,200.64,200.72,201.33,200.14,545796.0
2012-12-14 06:00:00,198.87,201.53,202.09,198.87,606218.0
2012-12-17 06:00:00,202.31,205.29,205.35,200.89,1126547.0
2012-12-18 06:00:00,205.73,206.67,208.6195,203.81,988847.0
2012-12-19 06:00:00,205.48,205.81,208.85,205.48,959109.0
2012-12-20 06:00:00,207.29,209.29,209.43,206.11,612524.0
2012-12-21 06:00:00,206.02,206.75,209.91,205.37,1183528.0
2012-12-24 06:00:00,209.8,207.22,209.8,202.7,306953.0
2012-12-26 06:00:00,207.53,205.34,207.58,204.9725,443484.0
2012-12-27 06:00:00,205.85,206.07,206.83,204.04,372938.0
2012-12-28 06:00:00,204.91,204.51,206.27,203.88,320424.0
2012-12-31 06:00:00,204.16,206.71,206.88,203.91,427870.0
2013-01-02 06:00:00,210.62,212.77,212.87,208.77,951514.0
2013-01-03 06:00:00,213.31,213.35,215.99,212.17,596193.0
2013-01-04 06:00:00,213.03,218.03,218.86,213.02,805130.0
2013-01-07 06:00:00,217.68,217.63,218.29,215.25,722214.0
2013-01-08 06:00:00,217.02,214.26,217.443,214.05,630388.0
2013-01-09 06:00:00,215.19,214.82,217.12,214.23,685005.0
2013-01-10 06:00:00,216.02,218.75,220.0,215.82,829370.0
2013-01-11 06:00:00,218.43,221.01,221.26,217.33,823765.0
2013-01-14 06:00:00,221.23,222.19,224.47,220.06,869355.0
2013-01-15 06:00:00,223.37,223.25,223.41,220.59,637824.0
2013-01-16 06:00:00,222.43,222.24,224.0,221.39,758143.0
2013-01-17 06:00:00,228.75,232.0,234.46,227.0,1721911.0
2013-01-18 06:00:00,232.8,233.93,234.0,231.26,1425333.0
2013-01-22 06:00:00,234.12,236.96,237.01,234.05,1136947.0
2013-01-23 06:00:00,237.3,235.99,238.62,235.14,888473.0
2013-01-24 06:00:00,237.32,236.33,238.41,234.59,1002836.0
2013-01-25 06:00:00,237.53,236.42,237.75,235.85,1080696.0
2013-01-28 06:00:00,235.59,234.86,236.32,233.16,914298.0
2013-01-29 06:00:00,235.15,238.01,238.01,234.11,879155.0
2013-01-30 06:00:00,237.75,237.4,238.4,236.09,743777.0
2013-01-31 06:00:00,236.73,236.28,238.55,235.47,697370.0
2013-02-01 06:00:00,234.64,236.89,237.788,234.0,1021891.0
2013-02-04 06:00:00,232.17,234.48,236.25,231.66,966845.0
2013-02-05 06:00:00,235.39,238.86,239.49,235.0,828278.0
2013-02-06 06:00:00,237.55,238.8,238.95,237.25,571674.0
2013-02-07 06:00:00,238.5,236.82,238.8,234.566,503324.0
2013-02-08 06:00:00,236.64,238.16,238.6924,235.75,552207.0
2013-02-11 06:00:00,238.18,239.45,239.92,237.31,931857.0
2013-02-12 06:00:00,239.0,238.86,241.02,238.73,1094867.0
2013-02-13 06:00:00,240.2,242.52,243.03,239.75,985944.0
2013-02-14 06:00:00,242.37,245.57,245.65,242.36,895404.0
2013-02-15 06:00:00,246.75,242.95,247.0,242.37,1000986.0
2013-02-19 06:00:00,243.42,244.12,245.36,242.66,1005598.0
2013-02-20 06:00:00,243.54,239.12,243.98,239.0,741202.0
2013-02-21 06:00:00,238.16,236.22,238.5,235.3,955537.0
2013-02-22 06:00:00,238.0,240.87,240.88,238.0,836607.0
2013-02-25 06:00:00,242.7,236.5,243.6642,236.5,793574.0
2013-02-26 06:00:00,238.09,236.15,239.21,234.34,876756.0
2013-02-27 06:00:00,236.03,241.07,241.63,235.05,520317.0
2013-02-28 06:00:00,240.94,239.75,242.11,239.56,565899.0
2013-03-01 06:00:00,238.17,236.83,238.17,233.8,836198.0
2013-03-04 06:00:00,236.23,241.27,241.38,236.0,688723.0
2013-03-05 06:00:00,242.24,244.39,244.61,238.29,1033384.0
2013-03-06 06:00:00,245.77,249.57,250.0,245.77,1117885.0
2013-03-07 06:00:00,250.45,248.47,251.696,248.28,769440.0
2013-03-08 06:00:00,250.1,248.27,251.02,247.44,582146.0
2013-03-11 05:00:00,248.27,247.87,248.44,246.28,565260.0
2013-03-12 05:00:00,248.08,249.44,250.29,247.71,1014503.0
2013-03-13 05:00:00,250.34,253.7,254.0,249.5,776808.0
2013-03-14 05:00:00,254.89,256.04,257.77,254.11,967366.0
2013-03-15 05:00:00,255.07,256.74,256.8,254.261,982698.0
2013-03-18 05:00:00,254.11,255.25,256.53,253.43,449234.0
2013-03-19 05:00:00,255.08,253.18,256.36,250.69,565299.0
2013-03-20 05:00:00,255.25,258.7,259.5671,255.25,755049.0
2013-03-21 05:00:00,256.28,253.0,259.19,252.81,1039975.0
2013-03-22 05:00:00,253.52,253.13,254.52,252.12,692884.0
2013-03-25 05:00:00,255.0,251.82,257.33,251.44,853246.0
2013-03-26 05:00:00,252.8,258.41,258.68,252.0401,635899.0
2013-03-27 05:00:00,257.2,256.57,257.6,254.88,349838.0
2013-03-28 05:00:00,257.36,256.88,258.655,255.26,547640.0
2013-04-01 05:00:00,256.5,252.96,256.85,252.47,389573.0
2013-04-02 05:00:00,253.41,257.44,257.88,253.21,644169.0
2013-04-03 05:00:00,257.83,248.23,258.0,247.34,882527.0
2013-04-04 05:00:00,248.22,251.11,251.15,247.6,806887.0
2013-04-05 05:00:00,247.23,245.79,248.0,241.04,1332520.0
2013-04-08 05:00:00,245.47,249.38,249.41,244.1,470278.0
2013-04-09 05:00:00,251.91,254.04,255.56,249.72,760301.0
2013-04-10 05:00:00,255.43,260.77,260.78,254.96,657298.0
2013-04-11 05:00:00,261.35,264.14,265.57,261.35,735726.0
2013-04-12 05:00:00,262.95,263.13,264.985,262.1,422062.0
2013-04-15 05:00:00,260.0,253.86,262.46,253.78,939654.0
2013-04-16 05:00:00,257.77,257.22,257.9,251.48,1039833.0
2013-04-17 05:00:00,254.55,251.03,255.4299,249.02,864552.0
2013-04-18 05:00:00,251.01,245.3,251.18,243.58,1012457.0
2013-04-19 05:00:00,246.46,250.16,250.46,246.12,737419.0
2013-04-22 05:00:00,251.24,250.51,251.58,247.38,605540.0
2013-04-23 05:00:00,252.5,259.48,259.97,251.94,987124.0
2013-04-24 05:00:00,259.94,258.67,260.73,257.67,574399.0
2013-04-25 05:00:00,259.87,263.57,264.33,259.26,755865.0
2013-04-26 05:00:00,262.61,263.77,264.62,262.2,481149.0
2013-04-29 05:00:00,264.16,268.21,268.74,263.32,608106.0
2013-04-30 05:00:00,268.46,266.5,269.81,265.78,950547.0
2013-05-01 05:00:00,265.38,260.94,266.4995,260.69,793306.0
2013-05-02 05:00:00,261.69,262.35,263.41,260.98,670708.0
2013-05-03 05:00:00,265.68,271.34,271.595,265.14,835396.0
2013-05-06 05:00:00,271.55,274.35,275.21,270.241,659314.0
2013-05-07 05:00:00,274.54,275.55,275.815,272.41,431737.0
2013-05-08 05:00:00,275.35,277.25,277.37,268.03,495620.0
2013-05-09 05:00:00,274.73,275.8,278.82,272.43,891604.0
2013-05-10 05:00:00,276.24,276.67,277.46,275.21,555852.0
2013-05-13 05:00:00,275.76,279.39,281.0,275.415,466081.0
2013-05-14 05:00:00,280.0,284.45,284.979,280.0,573336.0
2013-05-15 05:00:00,283.98,289.29,289.41,283.0,695321.0
2013-05-16 05:00:00,288.44,285.41,290.83,284.755,607621.0
2013-05-17 05:00:00,287.1,290.95,291.209,286.7,567006.0
2013-05-20 05:00:00,289.1,289.25,291.825,287.06,551989.0
2013-05-21 05:00:00,290.6,291.69,293.31,288.94,737423.0
2013-05-22 05:00:00,291.66,285.33,298.14,282.91,1172184.0
2013-05-23 05:00:00,280.85,282.8,283.69,277.447,748232.0
2013-05-24 05:00:00,279.88,283.35,283.54,279.8,417426.0
2013-05-28 05:00:00,285.42,288.32,292.29,285.14,564174.0
2013-05-29 05:00:00,286.31,283.64,288.86,282.77,749516.0
2013-05-30 05:00:00,282.5,284.98,286.676,281.3,781861.0
2013-05-31 05:00:00,283.71,279.2,285.99,279.12,812944.0
2013-06-03 05:00:00,279.94,278.33,279.95,273.03,774769.0
2013-06-04 05:00:00,278.73,276.28,281.58,274.69,718980.0
2013-06-05 05:00:00,275.9,266.97,277.78,263.11,1305860.0
2013-06-06 05:00:00,265.39,268.99,269.23,260.52,1409330.0
2013-06-07 05:00:00,272.99,280.23,280.69,269.77,899128.0
2013-06-10 05:00:00,279.05,281.34,282.91,276.414,695217.0
2013-06-11 05:00:00,279.39,276.2,279.73,275.17,643994.0
2013-06-12 05:00:00,278.37,269.04,279.999,268.53,866564.0
2013-06-13 05:00:00,268.78,272.43,272.7,264.71,1162736.0
2013-06-14 05:00:00,272.36,269.73,273.7,268.05,761601.0
2013-06-17 05:00:00,272.56,275.99,278.08,271.0,762654.0
2013-06-18 05:00:00,277.38,276.49,279.33,274.77,506428.0
2013-06-19 05:00:00,276.89,268.46,278.2099,268.23,832063.0
2013-06-20 05:00:00,264.72,252.01,265.92,250.55,2373379.0
2013-06-21 05:00:00,258.51,248.67,258.65,241.99,2623778.0
2013-06-24 05:00:00,246.39,245.63,248.3,240.6,1564392.0
2013-06-25 05:00:00,249.61,252.58,253.87,247.65,1258714.0
2013-06-26 05:00:00,252.33,258.04,259.4,252.33,1028320.0
2013-06-27 05:00:00,257.35,264.06,265.5,257.35,1042380.0
2013-06-28 05:00:00,263.88,256.85,263.88,256.23,1407026.0
2013-07-01 05:00:00,257.61,256.11,261.6,255.81,835772.0
2013-07-02 05:00:00,255.91,256.82,259.4,254.71,483370.0
2013-07-03 05:00:00,254.49,255.26,257.2199,253.0,248215.0
2013-07-05 05:00:00,257.82,257.26,258.94,253.38,596318.0
2013-07-08 05:00:00,259.98,257.02,260.55,255.87,844786.0
2013-07-09 05:00:00,259.4,263.38,263.77,255.24,939040.0
2013-07-10 05:00:00,265.0,264.71,266.32,262.4,880884.0
